Ax,Ay,Az,Amag,Ax2,Ay2,Az2,Amag2
-2.21,-9.61,0.21,9.86,-9.48,0.16,-2.37,9.77
-2.18,-9.55,0.20,9.80,-9.57,0.21,-2.59,9.91
-2.21,-9.54,0.26,9.80,-9.50,0.18,-2.58,9.84
-2.21,-9.58,0.24,9.84,-9.51,0.17,-2.52,9.84
-2.19,-9.54,0.10,9.79,-9.57,0.18,-2.45,9.88
-2.18,-9.47,0.51,9.73,-9.50,0.17,-2.46,9.81
-2.22,-9.60,0.09,9.85,-9.53,0.23,-2.46,9.85
-2.20,-9.64,0.06,9.88,-9.58,0.22,-2.46,9.89
-2.21,-9.60,0.21,9.85,-9.61,0.19,-2.50,9.93
-2.16,-9.62,0.25,9.87,-9.63,0.18,-2.48,9.95
-2.15,-9.62,0.16,9.86,-9.58,0.18,-2.46,9.90
-2.18,-9.60,0.17,9.85,-9.55,0.18,-2.48,9.87
-2.18,-9.57,0.24,9.82,-9.54,0.18,-2.48,9.86
-2.19,-9.56,0.18,9.81,-9.50,0.18,-2.47,9.82
-2.18,-9.53,0.16,9.78,-9.50,0.18,-2.42,9.81
-2.15,-9.53,0.23,9.77,-9.53,0.17,-2.46,9.84
-2.15,-9.55,0.17,9.79,-9.56,0.18,-2.43,9.86
-2.12,-9.52,0.22,9.76,-9.53,0.16,-2.44,9.84
-2.16,-9.55,0.21,9.79,-9.54,0.17,-2.46,9.85
-2.14,-9.55,0.23,9.79,-9.52,0.16,-2.46,9.83
-2.18,-9.56,0.29,9.81,-9.53,0.17,-2.47,9.85
-2.22,-9.56,0.19,9.81,-9.53,0.19,-2.46,9.84
-2.20,-9.55,0.23,9.80,-9.54,0.21,-2.47,9.86
-2.19,-9.58,0.22,9.82,-9.52,0.22,-2.41,9.82
-2.22,-9.61,0.25,9.87,-9.56,0.23,-2.67,9.93
-2.21,-9.59,0.24,9.84,-9.52,0.18,-2.48,9.84
-2.18,-9.54,0.27,9.79,-9.57,0.18,-2.47,9.88
-2.19,-9.62,0.18,9.87,-9.51,0.17,-2.50,9.84
-2.21,-9.59,0.21,9.85,-9.55,0.20,-2.53,9.88
-2.21,-9.54,0.27,9.80,-9.51,0.24,-2.48,9.83
-2.17,-9.57,0.15,9.81,-9.53,0.19,-2.51,9.86
-2.17,-9.60,0.21,9.85,-9.53,0.17,-2.44,9.84
-2.16,-9.56,0.24,9.80,-9.57,0.17,-2.51,9.89
-2.17,-9.58,0.23,9.83,-9.56,0.18,-2.48,9.87
