Ax,Ay,Az,Amag
-0.18,-9.60,-1.84,9.78
-0.14,-9.59,-1.86,9.77
-0.15,-9.60,-1.80,9.77
-0.11,-9.59,-1.79,9.76
-0.12,-9.62,-1.84,9.79
-0.13,-9.61,-1.80,9.77
-0.15,-9.64,-1.84,9.82
-0.11,-9.63,-1.83,9.80
-0.14,-9.60,-1.83,9.77
-0.16,-9.62,-1.83,9.79
-0.18,-9.59,-1.82,9.76
-0.16,-9.63,-1.81,9.81
-0.15,-9.63,-1.83,9.80
-0.16,-9.64,-1.77,9.80
-0.12,-9.63,-1.82,9.80
-0.08,-9.62,-1.82,9.79
-0.08,-9.61,-1.82,9.78
-0.10,-9.62,-1.81,9.79
-0.11,-9.63,-1.81,9.79
-0.14,-9.63,-1.80,9.80
-0.13,-9.60,-1.83,9.77
-0.15,-9.62,-1.82,9.79
-0.16,-9.63,-1.83,9.80
-0.17,-9.61,-1.83,9.79
-0.14,-9.62,-1.82,9.79
-0.17,-9.61,-1.83,9.78
-0.16,-9.60,-1.82,9.77
-0.13,-9.59,-1.79,9.76
-0.12,-9.59,-1.80,9.76
-0.14,-9.58,-1.79,9.75
-0.12,-9.58,-1.80,9.74
-0.13,-9.60,-1.79,9.77
-0.12,-9.59,-1.78,9.75
-0.16,-9.60,-1.80,9.77
-0.12,-9.60,-1.80,9.77
-0.16,-9.60,-1.82,9.77
-0.14,-9.62,-1.82,9.79
-0.13,-9.59,-1.83,9.76
-0.15,-9.60,-1.81,9.77
-0.14,-9.61,-1.83,9.78
-0.12,-9.60,-1.81,9.77
-0.11,-9.62,-1.80,9.79
-0.13,-9.63,-1.81,9.80
-0.16,-9.63,-1.82,9.80
-0.16,-9.62,-1.85,9.80
-0.18,-9.60,-1.85,9.78
-0.17,-9.62,-1.82,9.79
-0.15,-9.60,-1.82,9.77
-0.17,-9.62,-1.82,9.80
-0.16,-9.60,-1.83,9.77
-0.19,-9.59,-1.80,9.76
-0.17,-9.58,-1.86,9.76
-0.11,-9.60,-1.81,9.77
-0.12,-9.60,-1.82,9.77
-0.11,-9.60,-1.81,9.77
-0.12,-9.60,-1.91,9.78
-0.13,-9.56,-1.91,9.75
-0.16,-9.56,-1.98,9.76
-0.14,-9.59,-1.83,9.76
-0.14,-9.57,-1.75,9.73
-0.13,-9.59,-1.73,9.74
-0.12,-9.58,-1.82,9.75
-0.14,-9.61,-1.81,9.78
-0.13,-9.61,-1.82,9.78
-0.15,-9.64,-1.86,9.82
-0.16,-9.66,-1.91,9.84
-0.16,-9.68,-1.88,9.86
-0.14,-9.68,-1.90,9.86
-0.16,-9.67,-1.94,9.87
-0.18,-9.63,-1.83,9.80
-0.14,-9.67,-1.84,9.85
-0.17,-9.63,-1.85,9.81
-0.17,-9.61,-1.81,9.78
-0.11,-9.57,-1.94,9.76
-0.16,-9.58,-1.88,9.76
-0.15,-9.58,-1.84,9.75
-0.15,-9.58,-1.80,9.75
-0.13,-9.57,-1.84,9.75
-0.16,-9.59,-1.88,9.77
-0.14,-9.60,-1.82,9.77
-0.15,-9.63,-1.81,9.80
-0.13,-9.60,-1.88,9.78
-0.15,-9.64,-1.91,9.83
-0.15,-9.60,-1.76,9.76
-0.15,-9.64,-1.79,9.81
-0.13,-9.64,-1.83,9.81
-0.15,-9.60,-1.83,9.78
-0.17,-9.63,-1.84,9.81
-0.17,-9.63,-1.83,9.81
