Ax,Ay,Az,Amag
-0.34,-9.68,-1.55,9.81
-0.36,-9.68,-1.54,9.80
-0.32,-9.69,-1.52,9.81
-0.34,-9.67,-1.54,9.80
-0.30,-9.66,-1.48,9.78
-0.26,-9.59,-1.49,9.71
-0.27,-9.59,-1.50,9.71
-0.24,-9.60,-1.48,9.71
-0.28,-9.61,-1.48,9.72
-0.27,-9.62,-1.48,9.73
-0.25,-9.63,-1.49,9.75
-0.28,-9.67,-1.50,9.79
-0.26,-9.70,-1.52,9.82
-0.27,-9.73,-1.54,9.86
-0.28,-9.75,-1.57,9.88
-0.26,-9.76,-1.49,9.88
-0.28,-9.73,-1.55,9.85
-0.26,-9.74,-1.53,9.86
-0.29,-9.70,-1.53,9.83
-0.28,-9.71,-1.53,9.83
-0.28,-9.69,-1.53,9.82
-0.27,-9.67,-1.51,9.79
-0.30,-9.67,-1.49,9.79
-0.31,-9.64,-1.50,9.76
-0.27,-9.61,-1.49,9.73
-0.28,-9.61,-1.51,9.74
-0.29,-9.63,-1.46,9.75
-0.28,-9.61,-1.46,9.72
-0.30,-9.61,-1.51,9.73
-0.29,-9.67,-1.51,9.79
-0.30,-9.67,-1.45,9.78
-0.30,-9.70,-1.42,9.80
-0.28,-9.69,-1.45,9.80
-0.27,-9.67,-1.45,9.78
-0.24,-9.68,-1.46,9.79
-0.27,-9.68,-1.46,9.79
-0.29,-9.68,-1.52,9.81
-0.31,-9.67,-1.60,9.80
-0.29,-9.63,-1.56,9.76
-0.30,-9.64,-1.54,9.77
-0.32,-9.62,-1.45,9.73
-0.32,-9.65,-1.43,9.76
-0.33,-9.67,-1.44,9.78
-0.36,-9.72,-1.46,9.84
-0.33,-9.76,-1.52,9.88
-0.35,-9.77,-1.53,9.90
-0.28,-9.77,-1.61,9.90
-0.29,-9.77,-1.55,9.90
-0.31,-9.79,-1.55,9.91
-0.29,-9.72,-1.56,9.85
-0.26,-9.70,-1.54,9.82
-0.26,-9.66,-1.51,9.78
-0.26,-9.63,-1.48,9.75
-0.28,-9.61,-1.44,9.72
-0.26,-9.60,-1.44,9.71
-0.28,-9.61,-1.48,9.73
-0.29,-9.61,-1.43,9.72
-0.28,-9.63,-1.45,9.75
-0.28,-9.67,-1.48,9.79
-0.27,-9.67,-1.49,9.79
-0.28,-9.68,-1.54,9.81
-0.29,-9.69,-1.49,9.81
-0.25,-9.67,-1.57,9.80
-0.25,-9.69,-1.52,9.81
-0.26,-9.65,-1.51,9.77
-0.27,-9.65,-1.53,9.78
-0.26,-9.68,-1.51,9.80
-0.30,-9.67,-1.54,9.80
-0.29,-9.68,-1.47,9.79
-0.27,-9.69,-1.48,9.80
-0.29,-9.71,-1.51,9.83
-0.26,-9.69,-1.52,9.81
-0.28,-9.67,-1.53,9.80
-0.28,-9.70,-1.53,9.82
-0.27,-9.69,-1.50,9.81
-0.30,-9.69,-1.51,9.82
-0.29,-9.70,-1.47,9.82
