Ax,Ay,Az,Amag
-0.04,-9.62,2.11,9.85
-0.06,-9.63,2.14,9.86
-0.05,-9.62,2.12,9.85
-0.04,-9.60,2.15,9.84
-0.05,-9.60,2.15,9.84
-0.03,-9.59,2.13,9.82
-0.02,-9.60,2.14,9.84
-0.06,-9.62,2.12,9.85
-0.06,-9.60,2.12,9.83
-0.06,-9.58,2.13,9.82
-0.04,-9.60,2.15,9.83
-0.05,-9.60,2.20,9.84
-0.06,-9.59,2.23,9.85
-0.07,-9.58,2.23,9.83
-0.03,-9.62,2.27,9.89
-0.04,-9.61,2.26,9.87
-0.05,-9.60,2.26,9.87
-0.07,-9.62,2.26,9.88
-0.08,-9.63,2.24,9.89
-0.09,-9.61,2.25,9.87
-0.08,-9.65,2.22,9.90
-0.08,-9.63,2.22,9.89
-0.10,-9.60,2.25,9.86
-0.08,-9.57,2.23,9.83
-0.08,-9.57,2.22,9.82
-0.08,-9.53,2.24,9.79
-0.06,-9.56,2.24,9.82
-0.06,-9.55,2.27,9.82
-0.04,-9.60,2.30,9.88
-0.04,-9.62,2.33,9.90
-0.04,-9.64,2.34,9.92
-0.06,-9.57,2.33,9.85
-0.07,-9.55,2.27,9.81
-0.08,-9.53,2.26,9.80
-0.09,-9.55,2.25,9.81
-0.11,-9.56,2.29,9.83
-0.13,-9.56,2.28,9.83
-0.13,-9.61,2.34,9.89
-0.16,-9.61,2.37,9.90
-0.13,-9.60,2.37,9.89
-0.09,-9.60,2.35,9.88
-0.08,-9.57,2.35,9.86
-0.04,-9.60,2.34,9.88
-0.02,-9.58,2.32,9.86
-0.03,-9.57,2.32,9.84
-0.03,-9.56,2.33,9.84
-0.08,-9.61,2.36,9.90
-0.10,-9.58,2.33,9.86
-0.11,-9.59,2.32,9.87
-0.10,-9.56,2.34,9.84
-0.13,-9.52,2.31,9.80
-0.09,-9.54,2.33,9.82
-0.10,-9.49,2.32,9.77
-0.09,-9.51,2.33,9.79
-0.07,-9.49,2.35,9.77
-0.08,-9.51,2.36,9.80
-0.09,-9.53,2.39,9.82
-0.09,-9.54,2.40,9.84
-0.08,-9.55,2.40,9.85
-0.12,-9.56,2.42,9.87
-0.11,-9.57,2.43,9.87
-0.05,-9.56,2.43,9.86
-0.08,-9.54,2.43,9.85
-0.05,-9.54,2.43,9.84
-0.03,-9.54,2.42,9.84
-0.03,-9.58,2.43,9.89
-0.04,-9.56,2.44,9.87
-0.05,-9.58,2.48,9.90
-0.06,-9.58,2.48,9.90
-0.12,-9.55,2.52,9.88
-0.10,-9.57,2.51,9.90
-0.10,-9.55,2.49,9.87
-0.06,-9.51,2.46,9.82
-0.07,-9.52,2.44,9.83
-0.06,-9.49,2.42,9.80
-0.06,-9.50,2.44,9.81
-0.05,-9.51,2.41,9.81
-0.10,-9.50,2.41,9.80
-0.10,-9.49,2.41,9.79
-0.15,-9.52,2.43,9.82
-0.11,-9.52,2.44,9.83
-0.10,-9.56,2.43,9.86
-0.09,-9.55,2.47,9.86
-0.10,-9.58,2.48,9.90
-0.08,-9.60,2.49,9.92
-0.09,-9.58,2.49,9.90
-0.09,-9.59,2.49,9.91
-0.09,-9.53,2.52,9.86
-0.12,-9.53,2.50,9.86
-0.10,-9.52,2.50,9.85
-0.10,-9.50,2.50,9.83
-0.07,-9.50,2.47,9.82
-0.08,-9.47,2.48,9.79
-0.11,-9.47,2.46,9.79
-0.10,-9.48,2.46,9.80
-0.12,-9.50,2.48,9.82
-0.18,-9.49,2.50,9.81
-0.20,-9.52,2.49,9.84
-0.17,-9.55,2.58,9.89
-0.18,-9.56,2.63,9.92
-0.16,-9.55,2.64,9.91
-0.12,-9.53,2.64,9.89
-0.17,-9.47,2.63,9.83
-0.16,-9.47,2.64,9.83
-0.18,-9.46,2.64,9.82
-0.19,-9.46,2.63,9.83
-0.19,-9.47,2.65,9.83
-0.17,-9.45,2.65,9.82
-0.15,-9.50,2.67,9.87
-0.12,-9.48,2.66,9.85
-0.09,-9.49,2.66,9.86
-0.04,-9.50,2.66,9.86
-0.04,-9.50,2.63,9.85
-0.00,-9.55,2.64,9.91
-0.03,-9.60,2.67,9.96
-0.04,-9.58,2.70,9.95
-0.04,-9.56,2.71,9.94
-0.05,-9.52,2.68,9.89
-0.04,-9.50,2.66,9.86
-0.05,-9.43,2.62,9.79
-0.05,-9.40,2.64,9.77
-0.06,-9.43,2.64,9.80
-0.08,-9.43,2.70,9.81
-0.09,-9.47,2.72,9.85
-0.08,-9.48,2.72,9.86
-0.07,-9.53,2.67,9.90
-0.08,-9.54,2.65,9.90
-0.01,-9.56,2.67,9.92
