Ax,Ay,Az,Amag
-2.39,-1.14,-9.53,9.89
-2.39,-1.07,-9.51,9.86
-2.37,-1.02,-9.54,9.88
-2.41,-1.00,-9.55,9.90
-2.51,-1.06,-9.53,9.91
-2.47,-1.07,-9.53,9.90
-2.41,-1.11,-9.55,9.91
-2.42,-1.10,-9.52,9.88
-2.59,-1.06,-9.57,9.97
-2.62,-1.11,-9.55,9.97
-2.38,-1.20,-9.55,9.92
-2.44,-1.12,-9.55,9.92
-2.49,-1.15,-9.54,9.93
-2.44,-1.17,-9.50,9.87
-2.46,-1.06,-9.52,9.89
-2.52,-1.04,-9.54,9.92
-2.48,-1.09,-9.58,9.95
-2.46,-1.08,-9.48,9.86
-2.44,-1.06,-9.50,9.87
-2.43,-1.10,-9.54,9.91
-2.39,-1.17,-9.55,9.92
-2.43,-1.14,-9.54,9.92
-2.46,-1.10,-9.55,9.92
-2.48,-1.11,-9.51,9.89
-2.40,-1.09,-9.57,9.92
-2.38,-1.09,-9.51,9.86
-2.45,-1.13,-9.53,9.90
-2.51,-1.12,-9.57,9.96
-2.44,-1.08,-9.56,9.92
-2.39,-1.07,-9.51,9.87
-2.52,-1.11,-9.49,9.88
-2.47,-1.14,-9.57,9.95
-2.41,-1.09,-9.58,9.94
-2.46,-1.11,-9.52,9.90
-2.51,-1.12,-9.54,9.93
-2.51,-1.10,-9.55,9.93
-2.55,-1.12,-9.52,9.92
-2.43,-1.07,-9.53,9.89
-2.58,-1.07,-9.52,9.92
-2.46,-1.10,-9.56,9.93
-2.47,-1.13,-9.50,9.88
-2.43,-1.12,-9.53,9.90
-2.46,-1.12,-9.49,9.87
-2.47,-1.09,-9.57,9.94
-2.50,-1.10,-9.55,9.94
-2.50,-1.10,-9.57,9.95
-2.42,-1.08,-9.56,9.92
-2.42,-1.10,-9.52,9.88
-2.36,-1.05,-9.51,9.85
-2.52,-1.04,-9.52,9.90
-2.53,-1.07,-9.56,9.95
-2.56,-1.18,-9.54,9.95
-2.39,-1.16,-9.52,9.89
-2.52,-1.11,-9.52,9.91
-2.45,-1.13,-9.53,9.91
-2.43,-1.12,-9.55,9.92
-2.44,-1.17,-9.54,9.92
-2.46,-1.03,-9.56,9.93
-2.54,-1.07,-9.53,9.92
-2.34,-1.00,-9.53,9.86
-2.43,-1.14,-9.52,9.89
-2.44,-1.09,-9.57,9.93
-2.43,-1.04,-9.57,9.93
