Ax,Ay,Az,Amag
0.37,0.65,-9.97,10.00
0.43,0.60,-9.98,10.00
0.46,0.66,-9.99,10.03
0.35,0.55,-9.95,9.97
0.42,0.62,-9.92,9.95
0.31,0.60,-9.90,9.93
0.41,0.67,-9.87,9.90
0.39,0.66,-9.91,9.93
0.37,0.63,-9.98,10.01
0.37,0.68,-9.92,9.95
0.36,0.65,-9.91,9.93
0.37,0.53,-9.95,9.97
0.38,0.57,-9.90,9.92
0.45,0.71,-9.91,9.95
0.39,0.64,-9.91,9.93
0.39,0.50,-9.95,9.97
0.41,0.61,-9.92,9.95
0.36,0.61,-9.90,9.93
0.38,0.60,-9.92,9.95
0.38,0.57,-9.91,9.94
0.43,0.68,-9.96,9.99
0.29,0.56,-9.95,9.97
0.49,0.55,-9.85,9.88
0.35,0.78,-10.02,10.06
0.50,0.52,-9.88,9.91
0.30,0.54,-9.80,9.82
0.37,0.58,-9.98,10.00
0.50,0.56,-9.99,10.02
0.51,0.65,-9.92,9.95
0.40,0.54,-9.89,9.91
0.28,0.53,-9.93,9.94
0.34,0.57,-9.93,9.96
0.42,0.64,-9.93,9.96
0.40,0.61,-9.94,9.97
0.36,0.49,-9.91,9.93
0.39,0.59,-9.93,9.96
0.48,0.64,-9.99,10.03
0.47,0.58,-9.88,9.91
0.29,0.60,-9.91,9.93
0.36,0.54,-9.96,9.98
0.44,0.62,-9.95,9.98
0.50,0.70,-9.97,10.01
0.48,0.71,-9.90,9.94
0.29,0.55,-9.88,9.90
0.33,0.53,-9.88,9.90
0.48,0.67,-9.93,9.96
0.40,0.63,-9.90,9.93
0.35,0.55,-9.91,9.93
0.50,0.67,-9.94,9.98
0.38,0.50,-9.92,9.94
0.41,0.62,-9.92,9.94
0.33,0.54,-9.92,9.94
0.46,0.57,-9.93,9.96
0.44,0.61,-9.94,9.96
0.39,0.55,-9.90,9.93
0.40,0.60,-9.94,9.96
0.41,0.57,-9.89,9.91
0.35,0.59,-9.95,9.97
0.48,0.63,-9.95,9.98
0.46,0.55,-9.89,9.91
0.19,0.72,-10.06,10.09
0.51,0.49,-9.91,9.93
0.46,0.56,-9.88,9.90
0.35,0.56,-9.97,9.99
0.44,0.60,-10.02,10.05
0.53,0.67,-9.94,9.98
0.43,0.61,-9.89,9.91
0.36,0.61,-9.89,9.92
0.38,0.62,-9.89,9.91
0.42,0.56,-9.95,9.97
0.46,0.60,-9.92,9.95
0.43,0.55,-9.93,9.95
0.43,0.65,-9.91,9.94
0.49,0.58,-9.99,10.02
0.54,0.42,-9.91,9.94
0.46,0.59,-9.95,9.98
0.39,0.56,-9.93,9.95
0.46,0.68,-9.92,9.96
0.34,0.59,-9.96,9.98
0.38,0.52,-9.95,9.97
0.43,0.69,-9.93,9.96
0.41,0.62,-9.91,9.94
0.42,0.48,-9.92,9.95
0.47,0.63,-9.93,9.96
0.38,0.57,-9.96,9.99
0.32,0.60,-9.92,9.94
0.41,0.61,-9.85,9.88
0.40,0.50,-9.94,9.96
0.43,0.48,-9.95,9.97
0.40,0.59,-9.98,10.00
0.34,0.63,-9.90,9.93
0.36,0.55,-9.91,9.93
0.44,0.47,-9.96,9.98
0.31,0.55,-9.92,9.94
0.21,0.57,-9.95,9.97
0.35,0.54,-9.89,9.91
0.45,0.36,-9.68,9.70
0.33,0.49,-10.01,10.03
0.47,0.50,-9.94,9.96
0.21,0.52,-9.88,9.89
0.16,0.48,-10.01,10.02
0.50,0.53,-9.97,10.00
0.45,0.54,-9.93,9.95
0.20,0.49,-9.91,9.93
0.36,0.53,-9.94,9.96
0.35,0.64,-9.97,10.00
0.36,0.56,-9.94,9.96
0.39,0.50,-9.92,9.94
0.40,0.59,-9.92,9.95
0.32,0.58,-9.93,9.95
0.39,0.58,-9.87,9.89
0.37,0.48,-9.83,9.85
0.40,0.49,-9.99,10.01
0.45,0.56,-9.99,10.02
0.30,0.59,-9.89,9.91
0.40,0.62,-9.94,9.97
0.44,0.42,-9.93,9.95
0.37,0.54,-9.91,9.93
0.28,0.63,-9.93,9.96
0.39,0.59,-9.96,9.99
0.36,0.57,-9.93,9.95
0.29,0.63,-9.89,9.92
0.29,0.55,-9.88,9.90
0.50,0.58,-9.97,10.00
0.37,0.59,-9.93,9.96
0.30,0.70,-9.89,9.92
0.27,0.62,-9.89,9.91
0.42,0.50,-9.92,9.94
0.44,0.52,-9.96,9.99
0.42,0.64,-9.97,10.00
0.39,0.56,-9.85,9.87
0.21,0.70,-10.01,10.04
0.42,0.57,-9.96,9.98
0.36,0.53,-9.79,9.81
0.30,0.58,-9.96,9.98
0.53,0.64,-10.01,10.04
0.40,0.49,-9.96,9.98
0.39,0.65,-9.88,9.91
0.32,0.65,-9.92,9.94
0.29,0.58,-9.94,9.97
0.35,0.43,-9.94,9.95
0.38,0.62,-9.94,9.96
