Ax,Ay,Az,Amag
-1.42,-9.69,0.96,9.84
-1.40,-9.68,0.98,9.83
-1.44,-9.68,1.02,9.84
-1.47,-9.64,1.16,9.82
-1.50,-9.68,1.26,9.88
-1.46,-9.66,1.15,9.84
-1.41,-9.66,0.73,9.79
-1.40,-9.71,0.84,9.84
-1.35,-9.73,1.00,9.87
-1.40,-9.60,1.14,9.77
-1.39,-9.52,1.18,9.70
-1.47,-9.56,1.22,9.75
-1.48,-9.61,1.08,9.78
-1.51,-9.66,1.01,9.83
-1.48,-9.68,0.96,9.84
-1.44,-9.66,0.99,9.81
-1.41,-9.64,1.00,9.80
-1.39,-9.62,0.98,9.76
-1.42,-9.66,0.95,9.81
-1.41,-9.67,0.95,9.82
-1.44,-9.73,1.03,9.89
-1.45,-9.74,1.08,9.91
-1.43,-9.71,1.08,9.87
-1.47,-9.70,1.09,9.87
-1.48,-9.67,1.10,9.85
-1.46,-9.65,1.10,9.83
-1.42,-9.63,1.12,9.80
-1.42,-9.60,1.12,9.77
-1.39,-9.60,1.09,9.76
-1.39,-9.59,1.10,9.75
-1.42,-9.60,1.10,9.77
-1.39,-9.63,1.06,9.79
-1.42,-9.63,1.08,9.79
-1.40,-9.67,1.08,9.83
-1.41,-9.70,1.08,9.86
-1.40,-9.69,1.02,9.84
-1.42,-9.68,1.04,9.84
-1.44,-9.68,1.14,9.85
-1.45,-9.66,1.14,9.83
-1.43,-9.65,1.10,9.82
-1.42,-9.65,1.16,9.83
-1.45,-9.63,1.14,9.80
-1.42,-9.61,1.12,9.77
-1.41,-9.63,1.09,9.79
-1.42,-9.64,1.08,9.81
-1.43,-9.63,1.11,9.80
-1.42,-9.66,1.10,9.83
-1.43,-9.64,1.09,9.80
-1.43,-9.66,1.10,9.83
-1.43,-9.64,1.09,9.80
-1.46,-9.66,1.11,9.83
-1.44,-9.66,1.10,9.83
-1.44,-9.65,1.09,9.82
-1.43,-9.66,1.10,9.82
-1.44,-9.65,1.13,9.82
-1.40,-9.65,1.11,9.81
-1.42,-9.66,1.12,9.83
-1.40,-9.66,1.14,9.82
-1.40,-9.66,1.12,9.83
-1.42,-9.68,1.12,9.85
-1.40,-9.65,1.13,9.81
-1.44,-9.69,1.13,9.86
-1.43,-9.67,1.13,9.84
-1.41,-9.67,1.12,9.84
-1.41,-9.65,1.12,9.82
-1.40,-9.66,1.11,9.82
-1.42,-9.66,1.12,9.83
-1.41,-9.65,1.12,9.82
-1.40,-9.63,1.12,9.80
-1.42,-9.63,1.15,9.81
-1.40,-9.61,1.17,9.78
-1.41,-9.63,1.16,9.80
-1.41,-9.60,1.14,9.77
-1.40,-9.59,1.12,9.76
-1.40,-9.62,1.12,9.78
-1.36,-9.61,1.08,9.77
-1.38,-9.63,1.05,9.78
-1.41,-9.64,1.09,9.80
-1.44,-9.62,1.30,9.81
-1.51,-9.62,1.38,9.84
-1.47,-9.60,1.31,9.80
-1.35,-9.63,0.91,9.77
-1.36,-9.74,1.03,9.89
-1.34,-9.74,1.02,9.89
-1.37,-9.68,1.05,9.83
-1.42,-9.64,1.36,9.84
-1.39,-9.62,1.44,9.82
-1.43,-9.56,1.29,9.75
-1.46,-9.61,1.08,9.78
-1.48,-9.66,1.06,9.83
-1.46,-9.69,1.09,9.86
-1.40,-9.68,1.06,9.84
-1.37,-9.66,1.06,9.82
-1.41,-9.68,1.02,9.83
-1.40,-9.67,1.04,9.83
-1.40,-9.69,1.10,9.85
-1.42,-9.67,1.17,9.84
-1.43,-9.65,1.16,9.83
-1.44,-9.65,1.14,9.82
-1.42,-9.65,1.15,9.82
-1.41,-9.67,1.14,9.84
-1.41,-9.63,1.17,9.80
-1.40,-9.61,1.15,9.78
-1.38,-9.63,1.16,9.80
-1.39,-9.60,1.16,9.77
-1.39,-9.62,1.17,9.79
-1.41,-9.62,1.19,9.80
-1.41,-9.60,1.17,9.77
-1.41,-9.59,1.14,9.76
-1.39,-9.60,1.12,9.77
-1.38,-9.64,1.11,9.80
-1.38,-9.61,1.09,9.77
-1.44,-9.61,1.12,9.79
-1.48,-9.63,1.22,9.82
-1.41,-9.62,1.13,9.78
-1.42,-9.61,1.06,9.77
-1.46,-9.64,1.14,9.82
-1.45,-9.66,1.21,9.84
-1.46,-9.63,1.22,9.82
-1.44,-9.59,1.16,9.77
-1.42,-9.60,1.13,9.77
-1.44,-9.61,1.14,9.78
-1.45,-9.65,1.14,9.82
-1.42,-9.63,1.14,9.80
-1.43,-9.65,1.18,9.82
-1.43,-9.68,1.15,9.85
-1.42,-9.71,1.19,9.88
-1.43,-9.68,1.18,9.86
-1.45,-9.69,1.19,9.87
-1.46,-9.68,1.22,9.86
-1.44,-9.65,1.22,9.84
-1.44,-9.64,1.21,9.82
-1.45,-9.65,1.22,9.83
-1.46,-9.63,1.21,9.82
-1.40,-9.64,1.18,9.81
-1.40,-9.66,1.17,9.83
-1.42,-9.63,1.14,9.80
-1.42,-9.66,1.19,9.84
-1.43,-9.66,1.13,9.83
-1.43,-9.65,1.16,9.83
-1.45,-9.64,1.16,9.82
-1.48,-9.64,0.89,9.80
-1.40,-9.53,1.09,9.69
-1.40,-9.64,1.19,9.81
-1.43,-9.62,1.21,9.81
-1.40,-9.58,1.12,9.74
-1.38,-9.74,1.48,9.95
-1.41,-9.56,1.12,9.72
-1.40,-9.61,1.20,9.79
-1.45,-9.61,1.23,9.80
-1.43,-9.60,1.13,9.77
-1.44,-9.60,1.21,9.78
-1.42,-9.63,1.29,9.82
-1.44,-9.64,1.20,9.82
-1.41,-9.68,1.23,9.86
-1.39,-9.63,1.17,9.80
-1.40,-9.63,1.11,9.79
-1.41,-9.68,1.21,9.86
-1.52,-9.67,1.30,9.88
-1.50,-9.66,1.56,9.90
-1.48,-9.60,1.33,9.80
-1.33,-9.63,1.03,9.78
-1.36,-9.67,1.04,9.82
-1.33,-9.77,1.12,9.92
-1.37,-9.69,1.13,9.85
-1.40,-9.66,1.18,9.84
-1.41,-9.63,1.55,9.85
-1.41,-9.54,1.27,9.73
-1.46,-9.60,1.22,9.79
-1.47,-9.66,1.12,9.83
-1.45,-9.69,1.13,9.87
-1.41,-9.66,1.16,9.83
-1.38,-9.66,1.11,9.82
-1.36,-9.63,1.10,9.79
-1.37,-9.71,0.70,9.83
-1.39,-9.61,1.15,9.78
-1.39,-9.67,1.03,9.82
-1.44,-9.76,1.38,9.96
-1.44,-9.61,1.17,9.79
-1.44,-9.66,1.20,9.84
-1.44,-9.64,1.19,9.82
-1.43,-9.63,1.21,9.81
-1.42,-9.62,1.20,9.80
-1.40,-9.63,1.24,9.81
-1.37,-9.59,1.18,9.75
-1.36,-9.58,1.21,9.76
-1.38,-9.62,1.20,9.79
-1.38,-9.63,1.15,9.79
-1.38,-9.67,1.16,9.84
-1.37,-9.65,1.18,9.82
-1.41,-9.66,1.09,9.83
-1.41,-9.65,1.12,9.82
-1.40,-9.65,1.09,9.82
-1.43,-9.69,1.25,9.88
-1.41,-9.68,1.24,9.86
-1.42,-9.60,1.08,9.76
-1.41,-9.69,1.09,9.86
-1.41,-9.68,1.14,9.85
-1.42,-9.66,1.17,9.84
-1.38,-9.62,1.16,9.78
-1.38,-9.63,1.16,9.80
-1.40,-9.65,1.08,9.81
-1.42,-9.68,1.12,9.85
-1.42,-9.67,1.12,9.84
-1.43,-9.67,1.10,9.84
-1.41,-9.67,1.11,9.84
-1.45,-9.67,1.12,9.84
-1.43,-9.66,1.14,9.83
-1.42,-9.68,1.14,9.85
-1.43,-9.63,1.16,9.80
-1.42,-9.63,1.18,9.80
-1.44,-9.63,1.13,9.81
-1.42,-9.61,1.13,9.78
-1.42,-9.64,1.12,9.81
-1.41,-9.66,1.17,9.83
-1.43,-9.64,1.05,9.80
-1.44,-9.64,1.11,9.81
-1.43,-9.61,1.07,9.78
-1.45,-9.64,1.10,9.81
-1.46,-9.66,1.09,9.83
-1.46,-9.67,1.09,9.84
-1.47,-9.68,1.09,9.86
-1.46,-9.66,1.09,9.83
-1.45,-9.67,1.10,9.84
-1.46,-9.65,1.11,9.82
-1.42,-9.64,1.10,9.81
-1.42,-9.64,1.11,9.81
-1.42,-9.62,1.11,9.78
-1.42,-9.63,1.10,9.80
-1.40,-9.62,1.09,9.78
-1.43,-9.61,1.09,9.78
-1.46,-9.62,1.06,9.79
-1.44,-9.62,1.05,9.79
-1.47,-9.62,1.08,9.79
-1.45,-9.66,1.05,9.82
-1.43,-9.64,1.05,9.80
-1.46,-9.60,1.07,9.77
-1.42,-9.63,1.07,9.80
-1.46,-9.65,1.10,9.82
-1.47,-9.66,1.07,9.83
-1.46,-9.66,1.02,9.82
-1.43,-9.66,1.02,9.82
-1.44,-9.66,0.97,9.81
-1.42,-9.66,1.06,9.82
-1.47,-9.64,1.08,9.81
-1.46,-9.65,1.28,9.84
-1.48,-9.66,1.29,9.86
-1.39,-9.60,1.09,9.76
-1.40,-9.64,0.81,9.78
-1.37,-9.72,0.83,9.85
-1.40,-9.72,1.01,9.87
-1.45,-9.51,0.94,9.66
-1.32,-9.54,1.38,9.73
-1.48,-9.56,1.21,9.75
-1.46,-9.65,1.02,9.81
-1.42,-9.67,1.01,9.83
