Ax,Ay,Az,Amag
-1.35,-0.76,-9.85,9.97
-1.32,-0.76,-9.84,9.96
-1.32,-0.74,-9.86,9.98
-1.36,-0.72,-9.84,9.96
-1.37,-0.73,-9.83,9.95
-1.35,-0.75,-9.85,9.97
-1.33,-0.71,-9.83,9.94
-1.33,-0.76,-9.87,9.98
-1.35,-0.73,-9.86,9.98
-1.36,-0.73,-9.86,9.98
-1.34,-0.72,-9.84,9.96
-1.34,-0.75,-9.83,9.95
-1.36,-0.73,-9.83,9.95
-1.33,-0.70,-9.84,9.96
-1.30,-0.73,-9.85,9.97
-1.37,-0.76,-9.85,9.97
-1.35,-0.68,-9.84,9.95
-1.31,-0.75,-9.84,9.95
-1.37,-0.74,-9.85,9.98
-1.35,-0.72,-9.83,9.95
-1.32,-0.73,-9.85,9.96
-1.32,-0.77,-9.86,9.98
-1.35,-0.74,-9.83,9.95
-1.34,-0.75,-9.85,9.97
-1.33,-0.73,-9.84,9.95
-1.34,-0.75,-9.89,10.01
-1.35,-0.71,-9.83,9.95
-1.34,-0.76,-9.83,9.95
-1.34,-0.75,-9.84,9.96
-1.34,-0.73,-9.85,9.96
-1.32,-0.72,-9.84,9.96
-1.34,-0.74,-9.90,10.02
-1.38,-0.74,-9.85,9.97
-1.35,-0.74,-9.85,9.97
-1.33,-0.74,-9.87,9.98
-1.35,-0.75,-9.85,9.97
-1.34,-0.71,-9.83,9.94
-1.31,-0.74,-9.80,9.92
-1.36,-0.75,-9.87,9.99
-1.37,-0.74,-9.82,9.94
-1.33,-0.73,-9.83,9.95
-1.39,-0.76,-9.86,9.98
-1.30,-0.74,-9.84,9.96
-1.33,-0.76,-9.86,9.98
-1.37,-0.75,-9.85,9.97
-1.34,-0.73,-9.83,9.95
-1.29,-0.74,-9.84,9.95
-1.37,-0.75,-9.84,9.96
-1.35,-0.74,-9.83,9.95
-1.31,-0.73,-9.83,9.94
-1.32,-0.74,-9.86,9.98
-1.36,-0.74,-9.85,9.97
-1.34,-0.75,-9.81,9.93
-1.34,-0.71,-9.83,9.94
-1.35,-0.76,-9.84,9.96
-1.34,-0.74,-9.84,9.96
-1.32,-0.73,-9.84,9.95
-1.36,-0.74,-9.86,9.98
-1.36,-0.73,-9.86,9.98
-1.34,-0.75,-9.83,9.95
-1.29,-0.76,-9.85,9.97
-1.35,-0.75,-9.85,9.97
-1.33,-0.73,-9.83,9.95
-1.31,-0.73,-9.83,9.94
-1.33,-0.75,-9.88,9.99
-1.35,-0.72,-9.85,9.97
-1.31,-0.73,-9.83,9.94
-1.33,-0.73,-9.84,9.95
-1.38,-0.73,-9.84,9.96
-1.37,-0.72,-9.82,9.94
-1.32,-0.75,-9.84,9.96
-1.32,-0.77,-9.86,9.98
-1.37,-0.71,-9.84,9.96
-1.31,-0.73,-9.82,9.93
-1.35,-0.75,-9.86,9.98
-1.37,-0.72,-9.86,9.98
-1.32,-0.71,-9.84,9.95
-1.35,-0.76,-9.82,9.94
-1.34,-0.70,-9.88,9.99
-1.31,-0.74,-9.83,9.94
-1.34,-0.75,-9.87,9.99
-1.35,-0.72,-9.84,9.96
-1.31,-0.74,-9.81,9.93
-1.32,-0.75,-9.85,9.97
-1.38,-0.74,-9.85,9.97
-1.35,-0.73,-9.83,9.95
-1.33,-0.75,-9.85,9.96
-1.34,-0.74,-9.88,10.00
-1.34,-0.72,-9.83,9.94
-1.32,-0.74,-9.85,9.97
-1.32,-0.75,-9.85,9.96
-1.34,-0.73,-9.85,9.97
-1.33,-0.72,-9.84,9.95
-1.34,-0.76,-9.86,9.98
-1.36,-0.74,-9.85,9.97
-1.36,-0.71,-9.83,9.95
-1.31,-0.74,-9.83,9.95
-1.35,-0.73,-9.86,9.98
-1.36,-0.72,-9.85,9.97
-1.31,-0.75,-9.84,9.96
-1.34,-0.74,-9.87,9.99
-1.36,-0.73,-9.84,9.96
-1.33,-0.73,-9.82,9.94
-1.35,-0.74,-9.87,9.99
-1.36,-0.75,-9.85,9.97
-1.34,-0.74,-9.84,9.96
-1.33,-0.74,-9.83,9.95
-1.34,-0.73,-9.85,9.97
-1.35,-0.72,-9.84,9.96
-1.32,-0.75,-9.84,9.95
-1.31,-0.75,-9.83,9.95
-1.34,-0.72,-9.84,9.96
-1.32,-0.73,-9.85,9.97
-1.36,-0.75,-9.86,9.99
-1.36,-0.74,-9.85,9.97
-1.33,-0.74,-9.83,9.94
-1.31,-0.72,-9.86,9.97
-1.39,-0.74,-9.85,9.97
-1.31,-0.73,-9.81,9.93
-1.33,-0.72,-9.83,9.94
-1.33,-0.75,-9.85,9.97
-1.33,-0.72,-9.85,9.96
-1.36,-0.74,-9.83,9.95
-1.37,-0.72,-9.84,9.96
-1.33,-0.74,-9.84,9.96
-1.33,-0.74,-9.83,9.95
