Ax,Ay,Az,Amag
-0.16,-9.80,-0.49,9.81
-0.18,-9.82,-0.47,9.84
-0.17,-9.81,-0.48,9.82
-0.18,-9.79,-0.48,9.81
-0.18,-9.80,-0.48,9.82
-0.19,-9.81,-0.47,9.82
-0.16,-9.81,-0.47,9.82
-0.17,-9.80,-0.49,9.82
-0.19,-9.82,-0.46,9.83
-0.16,-9.81,-0.49,9.83
-0.19,-9.80,-0.47,9.81
-0.18,-9.79,-0.47,9.81
-0.16,-9.80,-0.46,9.81
-0.15,-9.79,-0.48,9.80
-0.16,-9.78,-0.48,9.80
-0.19,-9.81,-0.46,9.82
-0.15,-9.81,-0.48,9.82
-0.15,-9.82,-0.46,9.83
-0.16,-9.81,-0.46,9.82
-0.19,-9.81,-0.48,9.82
-0.15,-9.80,-0.48,9.81
-0.16,-9.81,-0.48,9.82
-0.20,-9.82,-0.47,9.83
-0.17,-9.81,-0.47,9.82
-0.16,-9.81,-0.47,9.82
-0.14,-9.84,-0.46,9.85
-0.15,-9.80,-0.47,9.81
-0.18,-9.82,-0.48,9.83
-0.17,-9.80,-0.48,9.81
-0.17,-9.80,-0.46,9.81
-0.16,-9.80,-0.46,9.81
-0.19,-9.81,-0.48,9.82
-0.18,-9.81,-0.45,9.82
-0.17,-9.82,-0.46,9.84
-0.17,-9.81,-0.49,9.83
-0.17,-9.82,-0.48,9.83
-0.19,-9.81,-0.46,9.82
-0.16,-9.82,-0.47,9.83
-0.20,-9.80,-0.46,9.81
-0.19,-9.80,-0.45,9.81
-0.15,-9.81,-0.48,9.82
-0.17,-9.82,-0.47,9.83
-0.16,-9.81,-0.50,9.82
-0.19,-9.78,-0.48,9.80
-0.16,-9.82,-0.47,9.83
-0.19,-9.80,-0.45,9.81
-0.15,-9.79,-0.45,9.80
-0.19,-9.82,-0.48,9.83
-0.18,-9.82,-0.46,9.83
-0.16,-9.84,-0.47,9.85
-0.20,-9.81,-0.47,9.82
-0.19,-9.82,-0.47,9.83
-0.16,-9.83,-0.47,9.85
-0.18,-9.81,-0.46,9.82
-0.17,-9.82,-0.49,9.84
-0.18,-9.80,-0.48,9.81
-0.16,-9.81,-0.47,9.82
-0.20,-9.81,-0.47,9.82
-0.17,-9.80,-0.48,9.82
-0.18,-9.80,-0.47,9.81
-0.16,-9.82,-0.47,9.83
-0.16,-9.80,-0.47,9.81
-0.18,-9.80,-0.47,9.81
-0.20,-9.81,-0.47,9.82
-0.17,-9.82,-0.47,9.84
-0.18,-9.79,-0.48,9.80
-0.17,-9.79,-0.48,9.80
-0.18,-9.81,-0.49,9.82
-0.17,-9.79,-0.48,9.80
-0.18,-9.81,-0.49,9.82
-0.19,-9.81,-0.48,9.83
-0.17,-9.82,-0.48,9.83
-0.17,-9.81,-0.45,9.82
-0.17,-9.81,-0.48,9.82
-0.16,-9.80,-0.45,9.81
-0.17,-9.79,-0.45,9.80
-0.19,-9.82,-0.47,9.83
-0.17,-9.79,-0.49,9.80
-0.17,-9.83,-0.47,9.84
-0.19,-9.80,-0.46,9.81
-0.17,-9.80,-0.48,9.81
-0.20,-9.82,-0.48,9.83
-0.16,-9.82,-0.47,9.83
-0.17,-9.78,-0.49,9.79
-0.15,-9.82,-0.46,9.83
-0.19,-9.81,-0.47,9.82
-0.19,-9.81,-0.48,9.82
-0.17,-9.80,-0.46,9.82
-0.17,-9.79,-0.48,9.80
-0.15,-9.82,-0.46,9.84
-0.18,-9.82,-0.47,9.83
-0.19,-9.79,-0.47,9.81
-0.18,-9.79,-0.48,9.80
-0.17,-9.82,-0.48,9.83
